"resource","consumer","res.n","res.m","res.phylum","res.class","res.order","res.family","res.genus","con.n","con.m","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Chironomidae","Zapada",463.5463546,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,40.50405041,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada","family","exact",3,"source","Matthew D Green"
"Dicranota","Dicranota",4.500450045,0.456662436,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota",4.500450045,0.456662436,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","exact","exact",5,"source","Matthew D Green"
"Dicranota","Rhyacophila",4.500450045,0.456662436,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","genus",4,"source","Matthew D Green"
"Doroneuria","Rhyacophila",9.00090009,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","genus",2,"source","Matthew D Green"
"Prosimulium","Dicranota",9.00090009,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",4.500450045,0.456662436,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","family","exact",5,"source","Matthew D Green"
"Prosimulium","Prosimulium",9.00090009,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",9.00090009,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","genus","genus",4,"source","Matthew D Green"
"Prosimulium","Rhyacophila",9.00090009,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","genus","exact",2,"source","Matthew D Green"
"Rhyacophila","Rhyacophila",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",1,"source","Matthew D Green"
"Zapada","Dicranota",40.50405041,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada",4.500450045,0.456662436,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","family","exact",2,"source","Matthew D Green"
"Zapada","Rhyacophila",40.50405041,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada",13.50135014,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Acentrella",1,0.001,,,,"Benthic.producers",,9.00090009,0.285232064,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella","exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Baetis",1,0.001,,,,"Benthic.producers",,58.50585059,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Chironomidae",1,0.001,,,,"Benthic.producers",,463.5463546,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Zapada",1,0.001,,,,"Benthic.producers",,40.50405041,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada","exact","exact",1,"source","Matthew D Green"
"Pelagic.producers","Prosimulium",1,0.001,,,,"Pelagic.producers",,9.00090009,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","exact","exact",1,"source","Matthew D Green"
