"resource","consumer","res.n","res.m","res.phylum","res.class","res.order","res.family","res.genus","con.n","con.m","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Cinygmula","Doroneuria",6.944444444,7.969282283,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygmula",1.388888889,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","family","family",13,"source","Matthew D Green"
"Cinygmula","Isoperla",6.944444444,7.969282283,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygmula",1.388888889,15.874116,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","family","exact",10,"source","Matthew D Green"
"Cinygmula","Paraperla",6.944444444,7.969282283,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygmula",1.388888889,15.81062366,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Paraperla","family","family",5,"source","Matthew D Green"
"Cinygmula","Rhyacophila",6.944444444,7.969282283,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygmula",2.777777778,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",4,"source","Matthew D Green"
"Diphetor","Arctopsyche",2.777777778,2.092471648,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor",1.388888889,51.81128833,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Arctopsyche","genus","family",1,"source","Matthew D Green"
"Diphetor","Chironomidae",2.777777778,2.092471648,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor",56.94444444,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",15,"source","Matthew D Green"
"Diphetor","Doroneuria",2.777777778,2.092471648,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor",1.388888889,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","family","exact",1,"source","Matthew D Green"
"Diphetor","Isoperla",2.777777778,2.092471648,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor",1.388888889,15.874116,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","family","exact",16,"source","Matthew D Green"
"Diphetor","Oligochaeta",2.777777778,2.092471648,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor",6.944444444,0.506640431,"Annelida","Clitellata",,,,"family","exact",3,"source","Matthew D Green"
"Diphetor","Paraperla",2.777777778,2.092471648,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor",1.388888889,15.81062366,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Paraperla","family","family",31,"source","Matthew D Green"
"Diphetor","Rhyacophila",2.777777778,2.092471648,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor",2.777777778,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",6,"source","Matthew D Green"
"Doroneuria","Rhyacophila",1.388888889,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria",2.777777778,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","genus",2,"source","Matthew D Green"
"Epeorus","Arctopsyche",6.944444444,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus",1.388888889,51.81128833,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Arctopsyche","genus","family",3,"source","Matthew D Green"
"Epeorus","Doroneuria",6.944444444,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus",1.388888889,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","family","family",13,"source","Matthew D Green"
"Epeorus","Isoperla",6.944444444,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus",1.388888889,15.874116,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","family","exact",10,"source","Matthew D Green"
"Epeorus","Paraperla",6.944444444,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus",1.388888889,15.81062366,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Paraperla","family","family",5,"source","Matthew D Green"
"Epeorus","Rhyacophila",6.944444444,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus",2.777777778,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",4,"source","Matthew D Green"
"Isoperla","Doroneuria",1.388888889,15.874116,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla",1.388888889,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","genus","family",10,"source","Matthew D Green"
"Isoperla","Isoperla",1.388888889,15.874116,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla",1.388888889,15.874116,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","exact","exact",4,"source","Matthew D Green"
"Isoperla","Paraperla",1.388888889,15.874116,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla",1.388888889,15.81062366,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Paraperla","exact","family",2,"source","Matthew D Green"
"Isoperla","Rhyacophila",1.388888889,15.874116,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla",2.777777778,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","genus","exact",2,"source","Matthew D Green"
"Micrasema","Chironomidae",2.777777778,5.45856005,"Arthropoda","Insecta","Trichoptera","Brachycentridae","Micrasema",56.94444444,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",2,"source","Matthew D Green"
"Micrasema","Rhyacophila",2.777777778,5.45856005,"Arthropoda","Insecta","Trichoptera","Brachycentridae","Micrasema",2.777777778,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","genus",4,"source","Matthew D Green"
"Oligochaeta","Acari",6.944444444,0.506640431,"Annelida","Clitellata",,,,1.388888889,0.1,"Arthropoda","Arachnida",,,,"exact","exact",2,"source","Matthew D Green"
"Oligochaeta","Arctopsyche",6.944444444,0.506640431,"Annelida","Clitellata",,,,1.388888889,51.81128833,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Arctopsyche","exact","family",6,"source","Matthew D Green"
"Oligochaeta","Chironomidae",6.944444444,0.506640431,"Annelida","Clitellata",,,,56.94444444,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","exact",1,"source","Matthew D Green"
"Oligochaeta","Isoperla",6.944444444,0.506640431,"Annelida","Clitellata",,,,1.388888889,15.874116,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","exact","exact",5,"source","Matthew D Green"
"Oligochaeta","Oligochaeta",6.944444444,0.506640431,"Annelida","Clitellata",,,,6.944444444,0.506640431,"Annelida","Clitellata",,,,"exact","exact",2,"source","Matthew D Green"
"Oligochaeta","Paraperla",6.944444444,0.506640431,"Annelida","Clitellata",,,,1.388888889,15.81062366,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Paraperla","exact","family",1,"source","Matthew D Green"
"Paraperla","Chironomidae",1.388888889,15.81062366,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Paraperla",56.94444444,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",5,"source","Matthew D Green"
"Paraperla","Isoperla",1.388888889,15.81062366,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Paraperla",1.388888889,15.874116,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","family","exact",5,"source","Matthew D Green"
"Paraperla","Paraperla",1.388888889,15.81062366,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Paraperla",1.388888889,15.81062366,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Paraperla","family","family",4,"source","Matthew D Green"
"Paraperla","Rhyacophila",1.388888889,15.81062366,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Paraperla",2.777777778,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",1,"source","Matthew D Green"
"Rhyacophila","Doroneuria",2.777777778,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila",1.388888889,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","exact","family",15,"source","Matthew D Green"
"Rhyacophila","Isoperla",2.777777778,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila",1.388888889,15.874116,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","exact","genus",6,"source","Matthew D Green"
"Rhyacophila","Rhyacophila",2.777777778,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila",2.777777778,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",1,"source","Matthew D Green"
"Serratella","Arctopsyche",1.388888889,1.176798991,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella",1.388888889,51.81128833,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Arctopsyche","genus","family",6,"source","Matthew D Green"
"Serratella","Doroneuria",1.388888889,1.176798991,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella",1.388888889,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","family","family",10,"source","Matthew D Green"
"Serratella","Rhyacophila",1.388888889,1.176798991,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella",2.777777778,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","genus",4,"source","Matthew D Green"
"Simulium","Arctopsyche",27.77777778,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",1.388888889,51.81128833,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Arctopsyche","genus","exact",1,"source","Matthew D Green"
"Simulium","Chelifera",27.77777778,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",6.944444444,0.684825948,"Arthropoda","Insecta","Diptera","Empididae","Chelifera","family","family",1,"source","Matthew D Green"
"Simulium","Chironomidae",27.77777778,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",56.94444444,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",13,"source","Matthew D Green"
"Simulium","Doroneuria",27.77777778,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",1.388888889,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","exact","family",16,"source","Matthew D Green"
"Simulium","Isoperla",27.77777778,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",1.388888889,15.874116,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","exact","genus",70,"source","Matthew D Green"
"Simulium","Micrasema",27.77777778,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",2.777777778,5.45856005,"Arthropoda","Insecta","Trichoptera","Brachycentridae","Micrasema","genus","family",4,"source","Matthew D Green"
"Simulium","Oligochaeta",27.77777778,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",6.944444444,0.506640431,"Annelida","Clitellata",,,,"exact","exact",1,"source","Matthew D Green"
"Simulium","Paraperla",27.77777778,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",1.388888889,15.81062366,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Paraperla","exact","family",24,"source","Matthew D Green"
"Simulium","Rhyacophila",27.77777778,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",2.777777778,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",4,"source","Matthew D Green"
"Simulium","Simulium",27.77777778,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",27.77777778,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",5,"source","Matthew D Green"
"Zapada","Arctopsyche",9.722222222,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada",1.388888889,51.81128833,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Arctopsyche","family","family",2,"source","Matthew D Green"
"Zapada","Chelifera",9.722222222,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada",6.944444444,0.684825948,"Arthropoda","Insecta","Diptera","Empididae","Chelifera","exact","exact",1,"source","Matthew D Green"
"Zapada","Isoperla",9.722222222,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada",1.388888889,15.874116,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","exact","exact",8,"source","Matthew D Green"
"Zapada","Rhyacophila",9.722222222,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada",2.777777778,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Ameletus",1,0.001,,,,"Benthic.producers",,9.722222222,9.08748113,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus","exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Baetis",1,0.001,,,,"Benthic.producers",,43.05555556,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Caudatella",1,0.001,,,,"Benthic.producers",,1.388888889,1.542387039,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Caudatella","exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Chironomidae",1,0.001,,,,"Benthic.producers",,56.94444444,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Cinygmula",1,0.001,,,,"Benthic.producers",,6.944444444,7.969282283,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygmula","exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Diphetor",1,0.001,,,,"Benthic.producers",,2.777777778,2.092471648,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor","exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Epeorus",1,0.001,,,,"Benthic.producers",,6.944444444,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus","exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Micrasema",1,0.001,,,,"Benthic.producers",,2.777777778,5.45856005,"Arthropoda","Insecta","Trichoptera","Brachycentridae","Micrasema","exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Oligochaeta",1,0.001,,,,"Benthic.producers",,6.944444444,0.506640431,"Annelida","Clitellata",,,,"exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Paraperla",1,0.001,,,,"Benthic.producers",,1.388888889,15.81062366,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Paraperla","exact","family",1,"source","Matthew D Green"
"Benthic.producers","Serratella",1,0.001,,,,"Benthic.producers",,1.388888889,1.176798991,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella","exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Zapada",1,0.001,,,,"Benthic.producers",,9.722222222,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada","exact","exact",1,"source","Matthew D Green"
"Pelagic.producers","Arctopsyche",1,0.001,,,,"Pelagic.producers",,1.388888889,51.81128833,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Arctopsyche","exact","exact",1,"source","Matthew D Green"
"Pelagic.producers","Micrasema",1,0.001,,,,"Pelagic.producers",,2.777777778,5.45856005,"Arthropoda","Insecta","Trichoptera","Brachycentridae","Micrasema","exact","family",1,"source","Matthew D Green"
"Pelagic.producers","Simulium",1,0.001,,,,"Pelagic.producers",,27.77777778,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",1,"source","Matthew D Green"
